Date,META_Price,TESLA_Price,MICROSOFT_Price,ORACLE_Price
2015-05-12,77.46,16.32,47.35,43.57
2015-05-13,78.44,16.21,47.62,43.79
2015-05-14,81.37,16.27,48.72,44.38
2015-05-15,80.42,16.59,48.3,44.15
2015-05-18,80.88,16.58,48.01,44.24
2015-05-19,80.63,16.48,47.58,44.32
2015-05-20,80.55,16.29,47.58,44.29
2015-05-21,80.48,16.37,47.42,44.28
2015-05-22,80.54,16.52,46.9,43.93
2015-05-26,79.33,16.5,46.59,43.33
2015-05-27,80.55,16.5,47.61,44.14
2015-05-28,80.14,16.76,47.45,43.86
2015-05-29,79.19,16.72,46.86,43.49
2015-06-01,80.29,16.63,47.23,43.79
2015-06-02,80.44,16.56,46.92,43.7
2015-06-03,82.44,16.6,46.85,43.97
2015-06-04,82.05,16.39,46.36,43.77
2015-06-05,82.14,16.61,46.14,43.81
2015-06-08,80.67,17.09,45.73,43.1
2015-06-09,80.67,17.07,45.65,43.07
2015-06-10,82.16,16.71,46.61,43.94
2015-06-11,81.83,16.76,46.44,44.28
2015-06-12,81.53,16.71,45.97,44.34
2015-06-15,80.71,16.69,45.48,43.72
2015-06-16,81.06,16.87,45.83,44.64
2015-06-17,81.79,17.36,45.97,44.91
2015-06-18,82.91,17.46,46.72,42.74
2015-06-19,82.51,17.5,46.1,41.59
2015-06-22,84.74,17.32,46.23,41.49
2015-06-23,87.88,17.84,45.91,41.71
2015-06-24,88.86,17.68,45.63,41.2
2015-06-25,87.98,17.92,45.65,41.06
2015-06-26,88.01,17.81,45.26,40.99
2015-06-29,85.8,17.47,44.37,40.42
2015-06-30,85.77,17.88,44.15,40.3
2015-07-01,86.91,17.94,44.45,40.24
2015-07-02,87.28,18.67,44.4,40.36
2015-07-06,87.55,18.65,44.39,40.15
2015-07-07,87.22,17.86,44.3,40.16
2015-07-08,85.65,17.0,44.24,39.77
2015-07-09,85.88,17.19,44.52,40.18
2015-07-10,87.95,17.28,44.61,40.36
2015-07-13,90.1,17.48,45.54,40.8
2015-07-14,89.68,17.71,45.62,40.78
2015-07-15,89.76,17.54,45.76,40.79
2015-07-16,90.85,17.78,46.66,40.96
2015-07-17,94.97,18.31,46.62,40.4
2015-07-20,97.91,18.82,46.92,39.93
2015-07-21,98.39,17.78,47.28,39.57
2015-07-22,97.04,17.86,45.54,39.42
2015-07-23,95.44,17.81,46.11,39.0
2015-07-24,96.95,17.69,45.94,39.0
2015-07-27,94.17,16.87,45.35,38.51
2015-07-28,95.29,17.65,45.34,39.28
2015-07-29,96.99,17.59,46.29,39.79
2015-07-30,95.21,17.79,46.88,39.65
2015-07-31,94.01,17.74,46.7,39.94
2015-08-03,94.14,17.33,46.81,39.71
2015-08-04,94.06,17.75,47.54,39.66
2015-08-05,96.44,18.01,47.58,39.64
2015-08-06,95.12,16.41,46.62,39.32
2015-08-07,94.3,16.17,46.74,39.56
2015-08-10,94.15,16.08,47.33,39.89
